IP:PORT, LOSS, DELAY
162.159.192.19:987,0.00%,153 ms
162.159.195.165:987,0.00%,158 ms
162.159.195.179:987,0.00%,159 ms
162.159.192.163:987,0.00%,159 ms
162.159.195.189:987,0.00%,162 ms
162.159.192.44:987,0.00%,162 ms
162.159.195.208:878,0.00%,166 ms
162.159.192.53:987,0.00%,166 ms
162.159.192.36:987,0.00%,167 ms
162.159.192.82:878,0.00%,168 ms
162.159.192.82:987,0.00%,168 ms
162.159.195.246:987,0.00%,169 ms
162.159.192.220:987,0.00%,169 ms
162.159.192.19:878,0.00%,169 ms
162.159.192.182:878,0.00%,170 ms
162.159.192.44:878,0.00%,171 ms
162.159.195.246:878,0.00%,171 ms
162.159.195.211:878,0.00%,171 ms
162.159.192.182:987,0.00%,172 ms
162.159.195.197:878,0.00%,172 ms
162.159.195.147:878,0.00%,173 ms
162.159.195.215:878,0.00%,173 ms
162.159.195.157:878,0.00%,173 ms
162.159.195.147:987,0.00%,177 ms
188.114.97.165:987,0.00%,195 ms
188.114.98.133:987,0.00%,197 ms
188.114.97.46:878,0.00%,198 ms
188.114.99.177:878,0.00%,202 ms
188.114.97.71:878,0.00%,202 ms
188.114.99.96:987,0.00%,202 ms
188.114.96.54:878,0.00%,203 ms
188.114.99.28:987,0.00%,204 ms
188.114.97.145:987,0.00%,204 ms
188.114.99.177:987,0.00%,204 ms
188.114.99.176:987,0.00%,206 ms
188.114.96.151:987,0.00%,208 ms
188.114.98.235:987,0.00%,208 ms
188.114.97.95:878,0.00%,209 ms
188.114.98.133:878,0.00%,209 ms
188.114.99.254:878,0.00%,209 ms
188.114.98.138:878,0.00%,209 ms
188.114.97.67:987,0.00%,209 ms
188.114.99.173:878,0.00%,210 ms
188.114.97.165:878,0.00%,210 ms
188.114.99.17:878,0.00%,210 ms
188.114.96.224:987,0.00%,210 ms
188.114.98.71:987,0.00%,211 ms
188.114.99.179:878,0.00%,211 ms
188.114.98.222:878,0.00%,211 ms
188.114.98.175:878,0.00%,211 ms
188.114.97.70:878,0.00%,212 ms
188.114.98.235:878,0.00%,214 ms
188.114.97.145:878,0.00%,215 ms
188.114.96.164:878,0.00%,215 ms
188.114.98.44:987,0.00%,215 ms
188.114.96.223:878,0.00%,215 ms
188.114.99.70:987,0.00%,215 ms
188.114.99.17:987,0.00%,216 ms
188.114.99.93:878,0.00%,216 ms
188.114.98.109:987,0.00%,216 ms
188.114.97.228:878,0.00%,217 ms
188.114.96.156:987,0.00%,217 ms
188.114.98.109:878,0.00%,217 ms
188.114.99.96:878,0.00%,217 ms
188.114.99.173:987,0.00%,218 ms
188.114.98.138:987,0.00%,218 ms
188.114.97.95:987,0.00%,218 ms
188.114.99.254:987,0.00%,218 ms
188.114.98.255:878,0.00%,218 ms
188.114.97.46:987,0.00%,219 ms
188.114.98.254:987,0.00%,219 ms
188.114.99.179:987,0.00%,219 ms
188.114.98.146:987,0.00%,219 ms
188.114.98.167:987,0.00%,220 ms
188.114.98.255:987,0.00%,220 ms
188.114.96.110:987,0.00%,220 ms
188.114.99.70:878,0.00%,220 ms
188.114.98.44:878,0.00%,221 ms
188.114.97.13:987,0.00%,221 ms
188.114.98.146:878,0.00%,221 ms
188.114.99.108:878,0.00%,221 ms
188.114.97.195:878,0.00%,221 ms
188.114.96.223:987,0.00%,222 ms
188.114.97.67:878,0.00%,222 ms
188.114.96.140:987,0.00%,222 ms
188.114.99.108:987,0.00%,222 ms
188.114.99.243:878,0.00%,223 ms
188.114.99.176:878,0.00%,223 ms
188.114.96.224:878,0.00%,224 ms
188.114.98.20:878,0.00%,224 ms
188.114.99.55:878,0.00%,225 ms
188.114.96.125:878,0.00%,225 ms
188.114.96.140:878,0.00%,225 ms
188.114.99.243:987,0.00%,226 ms
188.114.97.182:878,0.00%,226 ms
188.114.96.163:878,0.00%,227 ms
188.114.96.54:987,0.00%,228 ms
188.114.98.175:987,0.00%,228 ms
188.114.98.55:987,0.00%,228 ms
188.114.99.55:987,0.00%,229 ms
188.114.98.20:987,0.00%,230 ms
188.114.97.13:878,0.00%,232 ms
188.114.98.55:878,0.00%,233 ms
162.159.192.45:878,10.00%,239 ms
162.159.195.143:987,10.00%,242 ms
162.159.192.45:987,10.00%,243 ms
162.159.195.165:878,10.00%,243 ms
162.159.195.143:878,10.00%,246 ms
162.159.192.35:987,10.00%,247 ms
162.159.195.157:987,10.00%,248 ms
162.159.192.157:878,10.00%,249 ms
162.159.192.163:878,10.00%,249 ms
162.159.192.102:987,10.00%,250 ms
162.159.195.208:987,10.00%,250 ms
162.159.192.53:878,10.00%,251 ms
162.159.195.211:987,10.00%,252 ms
162.159.192.220:878,10.00%,252 ms
162.159.195.197:987,10.00%,254 ms
162.159.195.92:987,10.00%,256 ms
162.159.192.157:987,10.00%,257 ms
162.159.195.215:987,10.00%,259 ms
162.159.195.179:878,10.00%,268 ms
162.159.192.36:878,10.00%,269 ms
188.114.96.227:987,10.00%,277 ms
188.114.98.167:878,10.00%,283 ms
188.114.99.28:878,10.00%,289 ms
188.114.96.110:878,10.00%,291 ms
188.114.97.70:987,10.00%,292 ms
188.114.96.163:987,10.00%,293 ms
188.114.97.71:987,10.00%,294 ms
188.114.98.254:878,10.00%,294 ms
188.114.96.125:987,10.00%,295 ms
188.114.97.182:987,10.00%,296 ms
188.114.96.20:878,10.00%,296 ms
188.114.96.156:878,10.00%,296 ms
188.114.96.227:878,10.00%,297 ms
188.114.98.222:987,10.00%,297 ms
188.114.97.228:987,10.00%,297 ms
188.114.96.151:878,10.00%,298 ms
162.159.195.189:878,20.00%,326 ms
162.159.195.92:878,20.00%,329 ms
162.159.192.35:878,20.00%,334 ms
188.114.99.93:987,20.00%,365 ms
188.114.97.195:987,20.00%,377 ms
188.114.96.164:987,20.00%,381 ms
188.114.98.71:878,20.00%,381 ms
162.159.193.219:987,100.00%,1000 ms
162.159.204.181:987,100.00%,1000 ms
162.159.192.188:987,100.00%,1000 ms
188.114.96.20:987,100.00%,1000 ms
162.159.193.219:878,100.00%,1000 ms
162.159.193.181:878,100.00%,1000 ms
162.159.193.188:987,100.00%,1000 ms
162.159.204.58:987,100.00%,1000 ms
162.159.193.230:878,100.00%,1000 ms
162.159.193.98:878,100.00%,1000 ms
162.159.193.40:878,100.00%,1000 ms
162.159.204.87:987,100.00%,1000 ms
162.159.193.235:878,100.00%,1000 ms
162.159.204.160:987,100.00%,1000 ms
162.159.193.40:987,100.00%,1000 ms
162.159.204.58:878,100.00%,1000 ms
162.159.193.119:878,100.00%,1000 ms
162.159.204.160:878,100.00%,1000 ms
162.159.193.158:878,100.00%,1000 ms
162.159.204.46:987,100.00%,1000 ms
162.159.193.137:878,100.00%,1000 ms
162.159.192.188:878,100.00%,1000 ms
162.159.204.135:878,100.00%,1000 ms
162.159.204.47:987,100.00%,1000 ms
162.159.193.158:987,100.00%,1000 ms
162.159.193.57:987,100.00%,1000 ms
162.159.204.158:878,100.00%,1000 ms
162.159.192.2:878,100.00%,1000 ms
162.159.204.181:878,100.00%,1000 ms
162.159.204.46:878,100.00%,1000 ms
162.159.193.230:987,100.00%,1000 ms
162.159.204.171:987,100.00%,1000 ms
162.159.204.169:987,100.00%,1000 ms
162.159.204.88:878,100.00%,1000 ms
162.159.204.214:878,100.00%,1000 ms
162.159.204.169:878,100.00%,1000 ms
162.159.204.87:878,100.00%,1000 ms
162.159.204.253:878,100.00%,1000 ms
162.159.193.235:987,100.00%,1000 ms
162.159.193.181:987,100.00%,1000 ms
162.159.193.137:987,100.00%,1000 ms
162.159.192.2:987,100.00%,1000 ms
162.159.204.88:987,100.00%,1000 ms
162.159.204.214:987,100.00%,1000 ms
162.159.192.102:878,100.00%,1000 ms
162.159.204.158:987,100.00%,1000 ms
162.159.193.188:878,100.00%,1000 ms
162.159.193.57:878,100.00%,1000 ms
162.159.193.98:987,100.00%,1000 ms
162.159.204.253:987,100.00%,1000 ms
162.159.204.47:878,100.00%,1000 ms
162.159.204.171:878,100.00%,1000 ms
162.159.193.119:987,100.00%,1000 ms
162.159.204.135:987,100.00%,1000 ms
